components/theme-provider.tsx(5,41): error TS2307: Cannot find module 'next-themes/dist/types' or its corresponding type declarations.
lib/supabase/server.ts(15,16): error TS7006: Parameter 'cookiesToSet' implicitly has an 'any' type.
lib/supabase/server.ts(17,37): error TS7031: Binding element 'name' implicitly has an 'any' type.
lib/supabase/server.ts(17,43): error TS7031: Binding element 'value' implicitly has an 'any' type.
lib/supabase/server.ts(17,50): error TS7031: Binding element 'options' implicitly has an 'any' type.
middleware.ts(15,16): error TS7006: Parameter 'cookiesToSet' implicitly has an 'any' type.
middleware.ts(16,35): error TS7031: Binding element 'name' implicitly has an 'any' type.
middleware.ts(16,41): error TS7031: Binding element 'value' implicitly has an 'any' type.
middleware.ts(20,35): error TS7031: Binding element 'name' implicitly has an 'any' type.
middleware.ts(20,41): error TS7031: Binding element 'value' implicitly has an 'any' type.
middleware.ts(20,48): error TS7031: Binding element 'options' implicitly has an 'any' type.
